discount_id,order_id,discount_percentage,discount_code
DSC0595,ORD1410,0.05,PROMO5
DSC0596,ORD1411,0.05,PROMO5
DSC0597,ORD1416,0.3,REP_AUTH_30
DSC0598,ORD1420,0.4,REP_AUTH_40
DSC0599,ORD1421,0.05,PROMO5
DSC0600,ORD1425,0.3,REP_AUTH_30
DSC0601,ORD1427,0.2,REP_AUTH_20
DSC0602,ORD1428,0.4,REP_AUTH_40
DSC0603,ORD1430,0.05,PROMO5
DSC0604,ORD1434,0.05,PROMO5
DSC0605,ORD1436,0.2,REP_AUTH_20
DSC0606,ORD1438,0.15,PROMO15
DSC0607,ORD1439,0.05,PROMO5
DSC0608,ORD1440,0.05,PROMO5
DSC0609,ORD1441,0.15,PROMO15
DSC0610,ORD1445,0.05,PROMO5
DSC0611,ORD1446,0.3,REP_AUTH_30
DSC0612,ORD1447,0.4,REP_AUTH_40
DSC0613,ORD1448,0.05,PROMO5
DSC0614,ORD1450,0.2,REP_AUTH_20
DSC0615,ORD1451,0.5,REP_AUTH_50
DSC0616,ORD1452,0.3,REP_AUTH_30
DSC0617,ORD1455,0.15,PROMO15
DSC0618,ORD1456,0.05,PROMO5
DSC0619,ORD1457,0.2,PROMO20
DSC0620,ORD1464,0.15,PROMO15
DSC0621,ORD1472,0.25,REP_AUTH_25
DSC0622,ORD1479,0.2,PROMO20
DSC0623,ORD1480,0.05,PROMO5
DSC0624,ORD1481,0.3,REP_AUTH_30
DSC0625,ORD1482,0.1,PROMO10
DSC0626,ORD1483,0.4,REP_AUTH_40
DSC0627,ORD1486,0.05,PROMO5
DSC0628,ORD1487,0.1,PROMO10
DSC0629,ORD1491,0.4,REP_AUTH_40
DSC0630,ORD1492,0.05,PROMO5
DSC0631,ORD1496,0.4,REP_AUTH_40
DSC0632,ORD1499,0.4,REP_AUTH_40
DSC0633,ORD1502,0.2,REP_AUTH_20
DSC0634,ORD1508,0.25,REP_AUTH_25
DSC0635,ORD1510,0.15,PROMO15
DSC0636,ORD1511,0.05,PROMO5
DSC0637,ORD1512,0.2,PROMO20
DSC0638,ORD1513,0.1,PROMO10
DSC0639,ORD1522,0.3,REP_AUTH_30
DSC0640,ORD1523,0.1,PROMO10
DSC0641,ORD1524,0.5,REP_AUTH_50
DSC0642,ORD1528,0.2,REP_AUTH_20
DSC0643,ORD1530,0.05,PROMO5
DSC0644,ORD1531,0.1,PROMO10
DSC0645,ORD1532,0.05,PROMO5
DSC0646,ORD1533,0.2,PROMO20
DSC0647,ORD1536,0.15,PROMO15
DSC0648,ORD1537,0.4,REP_AUTH_40
DSC0649,ORD1538,0.25,REP_AUTH_25
DSC0650,ORD1539,0.1,PROMO10
DSC0651,ORD1540,0.2,REP_AUTH_20
DSC0652,ORD1541,0.05,PROMO5
